Links,Claims,,,
https://thelogicalindian.com//fact-check/fake-image-of-west-bengal-2021-elections-26893,An image has gone viral on social media with a claim that the dates of West Bengal State Assembly polls have been announced,,,17-Feb-21
https://thelogicalindian.com//fact-check/disha-ravi-26887,"Twitter users are trending 'Disha Ravi Joseph' with a false claim that Disha Ravi is a Christian and hence, intends to break the country",,,17-Feb-21
https://thelogicalindian.com//fact-check/disha-ravi-26875,"After Times Now misreported that Disha Ravi is a single mother, a campaign to malign her started on social media platforms",,,16-Feb-21
https://thelogicalindian.com//fact-check/fake-accounts-of-disha-ravi-after-her-arrest-over-toolkit-26873,"After the arrest of Disha Ravi, a climate activist, many fake accounts impersonating her have started surfacing on Twitter",,,16-Feb-21
https://thelogicalindian.com//fact-check/nikita-jacob-26871,"An image of Arvind Kejriwal with an AAP Party worker is being shared with a false claim of the woman in the photo is Mumbai based lawyer and activist Nikita Jacob, named in 'toolkit FIR'",,,16-Feb-21
https://thelogicalindian.com//fact-check/images-from-turkey-earthquake-shared-as-afghanistans-earthquake-destruction-26858,Images from an earthquake that occurred in Turkey are being circulated as destruction caused in Afghanistan due to the recent earthquake,,,15-Feb-21
https://thelogicalindian.com//fact-check/narendra-modi-26856,An old image taken during anti-CAA protests has gone viral on social media with a claim that people of Tamil Nadu protested against PM Modi's recent visit to the state,,,15-Feb-21
https://thelogicalindian.com//fact-check/farmers-protest-26855,122 protestors were arrested after Republic day violence,,,15-Feb-21
https://thelogicalindian.com//fact-check/farmers-protest-26841,Two images shared claiming both are of the girl who raised Pro-Pakistan slogan in Asaduddin Owaisi's anti-CAA rally,,,13-Feb-21
https://thelogicalindian.com//fact-check/an-old-image-shared-as-rinku-sharmas-mother-26840,An old image of a woman holding her lifeless son is being shared on social media claiming it to be Rinku Sharma's mother,,,13-Feb-21
https://thelogicalindian.com//fact-check/abhishek-banerjee-26835,"A video is being shared to show Abhishek Banerjee, Mamata Banerjee's nephew, was beaten for his recent remark against BJP leader Suvendu Adhikari",,,13-Feb-21
https://thelogicalindian.com//fact-check/girl-murder-26823,An image of a minor girl who died by suicide in Uttar Pradesh has gone viral with the claim that it is of the alleged rape and murder victim from Kolkata,,,12-Feb-21
